"文字","画数"
"壽","14"
"斡","14"
"禎","14"
"蔭","14"
"樺","14"
"遡","14"
"漏","14"
"暦","14"
"瑠","14"
"僚","14"
"辣","14"
"踊","14"
"瘍","14"
"誘","14"
"網","14"
"銘","14"
"蜜","14"
"漫","14"
"慢","14"
"膜","14"
"墨","14"
"僕","14"
"貌","14"
"慕","14"
"蔑","14"
"腐","14"
"漂","14"
"碑","14"
"閥","14"
"罰","14"
"髪","14"
"寧","14"
"稲","14"
"滴","14"
"摘","14"
"漬","14"
"徴","14"
"嫡","14"
"綻","14"
"端","14"
"奪","14"
"駄","14"
"憎","14"
"遭","14"
"漸","14"
"箋","14"
"誓","14"
"彰","14"
"緒","14"
"塾","14"
"銃","14"
"需","14"
"遮","14"
"漆","14"
"雌","14"
"魂","14"
"獄","14"
"酷","14"
"豪","14"
"酵","14"
"綱","14"
"熊","14"
"駆","14"
"概","14"
"箇","14"
"寡","14"
"隠","14"
"維","14"
"模","14"
"暮","14"
"認","14"
"層","14"
"障","14"
"磁","14"
"誌","14"
"穀","14"
"誤","14"
"疑","14"
"閣","14"
"領","14"
"綿","14"
"複","14"
"徳","14"
"銅","14"
"適","14"
"態","14"
"増","14"
"像","14"
"総","14"
"銭","14"
"製","14"
"精","14"
"酸","14"
"雑","14"
"際","14"
"構","14"
"境","14"
"慣","14"
"演","14"
"歴","14"
"説","14"
"静","14"
"種","14"
"察","14"
"漁","14"
"旗","14"
"関","14"
"管","14"
"練","14"
"緑","14"
"様","14"
"鼻","14"
"銀","14"
"駅","14"
"鳴","14"
"聞","14"
"読","14"
"算","14"
"語","14"
"歌","14"
"賄","13"
"楼","13"
"楚","13"
"煮","13"
"稟","13"
"碎","13"
"靖","13"
"瑞","13"
"暑","13"
"牒","13"
"蒙","13"
"勤","13"
"稔","13"
"溢","13"
"蒼","13"
"傳","13"
"搖","13"
"椿","13"
"禎","13"
"鼎","13"
"煤","13"
"鳩","13"
"祿","13"
"楠","13"
"馴","13"
"與","13"
"裝","13"
"廊","13"
"詫","13"
"楕","13"
"圓","13"
"楓","13"
"奧","13"
"禽","13"
"蒲","13"
"碓","13"
"愼","13"
"碑","13"
"傭","13"
"獅","13"
"嘩","13"
"煌","13"
"暉","13"
"碗","13"
"楯","13"
"嵩","13"
"遁","13"
"舜","13"
"幌","13"
"滉","13"
"瑶","13"
"楢","13"
"煉","13"
"蒔","13"
"稜","13"
"馳","13"
"蓮","13"
"跨","13"
"塙","13"
"蓑","13"
"裟","13"
"葦","13"
"椰","13"
"楊","13"
"嵯","13"
"蓉","13"
"蒐","13"
"瑚","13"
"頌","13"
"詢","13"
"溜","13"
"溫","13"
"賂","13"
"廉","13"
"零","13"
"鈴","13"
"虜","13"
"慄","13"
"酪","13"
"雷","13"
"裸","13"
"腰","13"
"溶","13"
"誉","13"
"滅","13"
"睦","13"
"飽","13"
"蜂","13"
"微","13"
"頒","13"
"煩","13"
"搬","13"
"鉢","13"
"漠","13"
"頓","13"
"督","13"
"塗","13"
"殿","13"
"塡","13"
"溺","13"
"艇","13"
"跳","13"
"蓄","13"
"稚","13"
"痴","13"
"嘆","13"
"滝","13"
"滞","13"
"賊","13"
"僧","13"
"塑","13"
"禅","13"
"践","13"
"詮","13"
"腺","13"
"羨","13"
"煎","13"
"摂","13"
"跡","13"
"裾","13"
"睡","13"
"腎","13"
"慎","13"
"寝","13"
"触","13"
"飾","13"
"詳","13"
"奨","13"
"酬","13"
"愁","13"
"腫","13"
"嫉","13"
"慈","13"
"嗣","13"
"搾","13"
"載","13"
"歳","13"
"塞","13"
"催","13"
"債","13"
"傲","13"
"溝","13"
"碁","13"
"鼓","13"
"誇","13"
"遣","13"
"献","13"
"嫌","13"
"傑","13"
"隙","13"
"詣","13"
"継","13"
"携","13"
"傾","13"
"窟","13"
"愚","13"
"僅","13"
"嗅","13"
"詰","13"
"毀","13"
"棄","13"
"頑","13"
"寛","13"
"勧","13"
"褐","13"
"滑","13"
"隔","13"
"較","13"
"該","13"
"蓋","13"
"慨","13"
"楷","13"
"塊","13"
"雅","13"
"靴","13"
"禍","13"
"暇","13"
"嫁","13"
"虞","13"
"鉛","13"
"猿","13"
"煙","13"
"違","13"
"彙","13"
"裏","13"
"盟","13"
"幕","13"
"腹","13"
"賃","13"
"暖","13"
"誠","13"
"聖","13"
"蒸","13"
"傷","13"
"署","13"
"源","13"
"絹","13"
"預","13"
"夢","13"
"豊","13"
"墓","13"
"損","13"
"勢","13"
"準","13"
"飼","13"
"資","13"
"罪","13"
"鉱","13"
"群","13"
"禁","13"
"義","13"
"幹","13"
"解","13"
"働","13"
"腸","13"
"置","13"
"続","13"
"戦","13"
"節","13"
"照","13"
"辞","13"
"試","13"
"塩","13"
"愛","13"
"路","13"
"福","13"
"農","13"
"鉄","13"
"想","13"
"詩","13"
"業","13"
"漢","13"
"感","13"
"意","13"
"暗","13"
"話","13"
"電","13"
"数","13"
"新","13"
"楽","13"
"遠","13"
"園","13"
"渾","12"
"翔","12"
"註","12"
"智","12"
"喋","12"
"筑","12"
"寓","12"
"黑","12"
"惹","12"
"脹","12"
"虛","12"
"犀","12"
"焰","12"
"堵","12"
"欽","12"
"湘","12"
"渥","12"
"盜","12"
"斯","12"
"揭","12"
"渴","12"
"搜","12"
"剩","12"
"逸","12"
"閏","12"
"揃","12"
"喧","12"
"疏","12"
"貰","12"
"棲","12"
"厨","12"
"硯","12"
"絢","12"
"粟","12"
"渚","12"
"甥","12"
"粥","12"
"都","12"
"惣","12"
"湛","12"
"爲","12"
"腔","12"
"喰","12"
"戟","12"
"萩","12"
"葺","12"
"視","12"
"著","12"
"虜","12"
"巽","12"
"竣","12"
"猪","12"
"琢","12"
"董","12"
"遥","12"
"葵","12"
"萬","12"
"堺","12"
"曾","12"
"焚","12"
"單","12"
"堰","12"
"黃","12"
"皓","12"
"琳","12"
"雁","12"
"堯","12"
"惠","12"
"裡","12"
"瑛","12"
"釉","12"
"葡","12"
"筈","12"
"椋","12"
"琥","12"
"斐","12"
"禄","12"
"萱","12"
"琶","12"
"喬","12"
"淵","12"
"琵","12"
"稀","12"
"卿","12"
"敦","12"
"椀","12"
"凱","12"
"惡","12"
"湊","12"
"隈","12"
"惺","12"
"腕","12"
"湾","12"
"惑","12"
"廊","12"
"裂","12"
"塁","12"
"硫","12"
"痢","12"
"絡","12"
"揺","12"
"揚","12"
"雄","12"
"裕","12"
"猶","12"
"湧","12"
"愉","12"
"喩","12"
"帽","12"
"傍","12"
"募","12"
"遍","12"
"塀","12"
"雰","12"
"幅","12"
"普","12"
"扉","12"
"蛮","12"
"斑","12"
"媒","12"
"廃","12"
"鈍","12"
"筒","12"
"痘","12"
"棟","12"
"搭","12"
"塔","12"
"渡","12"
"堤","12"
"塚","12"
"椎","12"
"超","12"
"貼","12"
"遅","12"
"弾","12"
"棚","12"
"替","12"
"惰","12"
"堕","12"
"葬","12"
"痩","12"
"喪","12"
"訴","12"
"疎","12"
"婿","12"
"随","12"
"遂","12"
"須","12"
"尋","12"
"診","12"
"殖","12"
"畳","12"
"詔","12"
"粧","12"
"硝","12"
"焦","12"
"晶","12"
"掌","12"
"循","12"
"煮","12"
"湿","12"
"軸","12"
"滋","12"
"紫","12"
"傘","12"
"酢","12"
"詐","12"
"項","12"
"絞","12"
"硬","12"
"慌","12"
"喉","12"
"雇","12"
"堅","12"
"圏","12"
"隅","12"
"遇","12"
"琴","12"
"暁","12"
"御","12"
"距","12"
"喫","12"
"欺","12"
"棋","12"
"幾","12"
"閑","12"
"款","12"
"棺","12"
"敢","12"
"換","12"
"堪","12"
"喚","12"
"葛","12"
"渦","12"
"奥","12"
"援","12"
"媛","12"
"越","12"
"詠","12"
"椅","12"
"偉","12"
"嵐","12"
"握","12"
"揮","12"
"棒","12"
"補","12"
"晩","12"
"痛","12"
"尊","12"
"装","12"
"創","12"
"善","12"
"衆","12"
"就","12"
"詞","12"
"策","12"
"裁","12"
"敬","12"
"筋","12"
"勤","12"
"貴","12"
"割","12"
"貿","12"
"報","12"
"復","12"
"富","12"
"評","12"
"備","12"
"統","12"
"程","12"
"提","12"
"貸","12"
"属","12"
"測","12"
"絶","12"
"税","12"
"証","12"
"減","12"
"検","12"
"賀","12"
"過","12"
"営","12"
"街","12"
"量","12"
"無","12"
"満","12"
"費","12"
"飯","12"
"博","12"
"貯","12"
"達","12"
